Model,End-of-Life Date
PAN-2.5IN-HDD-2TB-PAIR,"Aug 31, 2028"
PAN-QSFP-40GBASE-LM4,"May 16, 2029"
PA-800 Series,"August 31, 2029"
PA-820,"August 31, 2029"
PA-850,"August 31, 2029"
ION 9000,"August 1st, 2029"
ION 3000,"August 1st, 2029"
M-200 and M-600,"Feb 15, 2029"
ION 1000,"February 1st, 2029"
ION 2000,"February 1st, 2029"
WF-500,"December 31, 2028"
PA-3200 Series,"August 31, 2028"
PA-3220,"August 31, 2028"
PA-3250,"August 31, 2028"
PA-3260,"August 31, 2028"
PA-3220-ZTP,"August 31, 2028"
PA-3250-ZTP,"August 31, 2028"
PA-3260-ZTP,"August 31, 2028"
PA-5200 Series,"August 31, 2028"
PA-5220,"August 31, 2028"
PA-5250,"August 31, 2028"
PA-5260,"August 31, 2028"
PA-5280,"August 31, 2028"
PA-220,"January 31, 2028"
ION 7000,"February 1, 2027"
PA-7000-20GXM-NPC,"May 8, 2026"
PA-7000-20GQXM-NPC,"May 8, 2026"
PA-7050-SMC,"February 28, 2026"
PA-7080-SMC,"February 28, 2026"
PA-7000-LPC,"February 28, 2026"
K2-Series,"February 28, 2026"
PA-5280-K2,"February 28, 2026"
PA-7050-K2,"February 28, 2026"
PA-7080-K2,"February 28, 2026"
M-500,"February 28, 2025"
PA-3000 Series,"October 31, 2024"
PA-3020,"October 31, 2024"
PA-3050,"October 31, 2024"
PA-3060,"October 31, 2024"
PA-5000 Series,"January 31, 2024"
PA-5020,"January 31, 2024"
PA-5050,"January 31, 2024"
PA-5060,"January 31, 2024"
PA-7000-20G-NPC,"January 31, 2024"
PA-7000-20GQ-NPC,"January 31, 2024"
PA-200,"October 31, 2023"
PA-500,"October 31, 2023"
M-100,"October 31, 2023"
PA-2000 Series,"April 30, 2020"
PA-2020,"April 30, 2020"
PA-2050,"April 30, 2020"
PA-4000 Series,"April 30, 2019"
PA-4020,"April 30, 2019"
PA-4050,"April 30, 2019"
PA-4060,"April 30, 2019"
GP-100,"April 30, 2021"
LightCyber Magna Detector,"December 31, 2020"
D-300,"December 31, 2020"
D-500,"December 31, 2020"
D-1000,"December 31, 2020"
LightCyber Magna Probe,"December 31, 2020"
P-50T,"December 31, 2020"
LightCyber Magna Master,"December 31, 2020"
M-100,"December 31, 2020"
