Version,End-of-Life Date
11.2,"May 2, 2027"
11.1,"May 3, 2027"
11.0,"November 17, 2024"
10.2,"August 27, 2025"
10.1,"December 1, 2024"
10.0,"July 16, 2022"
9.1,"June 30, 2024"
9.0-XFR,"September 19, 2020"
9.0,"March 1, 2022"
8.1,"March 1, 2022"
8.0,"October 31, 2019"
7.1,"June 30, 2020"
7.0,"December 4, 2017"
6.1,"October 25, 2018"
6.0,"March 19, 2017"
5.1,"May 9, 2017"
5.0,"November 13, 2016"
4.1,"April 30, 2015"
4.0,"December 31, 2014"
3.1,"June 30, 2013"
3.0,"December 17, 2010"
2.1,"January 5, 2012"
2.0,"May 20, 2009"
1.3,"November 20, 2008"
